,region,category,mode,powertrain,year,number of vehicles
2,Australia,Historical,Cars,BEV,2011,49.0
5,Australia,Historical,Cars,BEV,2012,170.0
9,Australia,Historical,Cars,PHEV,2012,80.0
10,Australia,Historical,Cars,PHEV,2013,100.0
14,Australia,Historical,Cars,BEV,2013,190.0
17,Australia,Historical,Cars,BEV,2014,370.0
21,Australia,Historical,Cars,PHEV,2014,950.0
22,Australia,Historical,Cars,PHEV,2015,1000.0
26,Australia,Historical,Cars,BEV,2015,760.0
29,Australia,Historical,Cars,BEV,2016,670.0
33,Australia,Historical,Cars,PHEV,2016,700.0
34,Australia,Historical,Cars,PHEV,2017,1100.0
40,Australia,Historical,Cars,BEV,2017,1200.0
43,Australia,Historical,Cars,BEV,2018,1800.0
49,Australia,Historical,Cars,PHEV,2018,1800.0
50,Australia,Historical,Cars,PHEV,2019,2900.0
55,Australia,Historical,Cars,BEV,2019,6300.0
58,Australia,Historical,Cars,BEV,2020,5200.0
63,Australia,Historical,Cars,PHEV,2020,1700.0
64,Australia,Historical,Cars,PHEV,2021,3400.0
71,Australia,Historical,Cars,BEV,2021,17000.0
73,Australia,Historical,Cars,FCEV,2021,44.0
74,Australia,Historical,Cars,FCEV,2022,15.0
76,Australia,Historical,Cars,BEV,2022,33000.0
80,Australia,Historical,Cars,PHEV,2022,5900.0
87,Australia,Historical,Cars,PHEV,2023,11000.0
91,Australia,Historical,Cars,BEV,2023,87000.0
93,Australia,Historical,Cars,FCEV,2023,6.0
111,Austria,Historical,Cars,BEV,2013,650.0
112,Austria,Historical,Cars,BEV,2014,1700.0
114,Austria,Historical,Cars,FCEV,2014,6.0
127,Austria,Historical,Cars,FCEV,2015,4.0
128,Austria,Historical,Cars,PHEV,2015,1100.0
130,Austria,Historical,Cars,BEV,2015,1700.0
131,Austria,Historical,Cars,BEV,2016,3800.0
133,Austria,Historical,Cars,PHEV,2016,1200.0
146,Austria,Historical,Cars,FCEV,2017,2.0
147,Austria,Historical,Cars,PHEV,2017,1700.0
149,Austria,Historical,Cars,BEV,2017,5400.0
150,Austria,Historical,Cars,BEV,2018,6800.0
152,Austria,Historical,Cars,PHEV,2018,2300.0
153,Austria,Historical,Cars,FCEV,2018,7.0
166,Austria,Historical,Cars,FCEV,2019,19.0
168,Austria,Historical,Cars,BEV,2019,9300.0
169,Austria,Historical,Cars,PHEV,2019,2200.0
170,Austria,Historical,Cars,PHEV,2020,7600.0
171,Austria,Historical,Cars,BEV,2020,16000.0
173,Austria,Historical,Cars,FCEV,2020,14.0
186,Austria,Historical,Cars,FCEV,2021,14.0
188,Austria,Historical,Cars,BEV,2021,33000.0
189,Austria,Historical,Cars,PHEV,2021,15000.0
190,Austria,Historical,Cars,PHEV,2022,13000.0
191,Austria,Historical,Cars,BEV,2022,34000.0
193,Austria,Historical,Cars,FCEV,2022,14.0
206,Austria,Historical,Cars,FCEV,2023,9.0
208,Austria,Historical,Cars,BEV,2023,48000.0
209,Austria,Historical,Cars,PHEV,2023,17000.0
211,Belgium,Historical,Vans,BEV,2010,7.0
213,Belgium,Historical,Cars,BEV,2010,48.0
215,Belgium,Historical,Cars,PHEV,2010,8.0
232,Belgium,Historical,Trucks,BEV,2011,1.0
236,Belgium,Historical,Cars,PHEV,2011,16.0
238,Belgium,Historical,Cars,BEV,2011,280.0
240,Belgium,Historical,Vans,BEV,2011,25.0
243,Belgium,Historical,Vans,BEV,2012,260.0
245,Belgium,Historical,Cars,BEV,2012,570.0
247,Belgium,Historical,Cars,PHEV,2012,340.0
268,Belgium,Historical,Cars,PHEV,2013,60.0
270,Belgium,Historical,Cars,BEV,2013,500.0
272,Belgium,Historical,Vans,BEV,2013,110.0
275,Belgium,Historical,Vans,BEV,2014,99.0
278,Belgium,Historical,Cars,BEV,2014,1300.0
280,Belgium,Historical,Buses,BEV,2014,3.0
284,Belgium,Historical,Cars,PHEV,2014,650.0
286,Belgium,Historical,Trucks,BEV,2014,1.0
304,Belgium,Historical,Cars,PHEV,2015,2500.0
309,Belgium,Historical,Cars,FCEV,2015,2.0
310,Belgium,Historical,Cars,BEV,2015,1400.0
313,Belgium,Historical,Vans,BEV,2015,68.0
316,Belgium,Historical,Vans,BEV,2016,140.0
319,Belgium,Historical,Cars,BEV,2016,2100.0
321,Belgium,Historical,Cars,FCEV,2016,7.0
326,Belgium,Historical,Cars,PHEV,2016,7100.0
328,Belgium,Historical,Trucks,BEV,2016,1.0
346,Belgium,Historical,Cars,PHEV,2017,12000.0
351,Belgium,Historical,Cars,FCEV,2017,11.0
353,Belgium,Historical,Cars,BEV,2017,2700.0
355,Belgium,Historical,Vans,PHEV,2017,1.0
357,Belgium,Historical,Vans,BEV,2017,130.0
359,Belgium,Historical,Buses,PHEV,2017,2.0
361,Belgium,Historical,Vans,BEV,2018,260.0
363,Belgium,Historical,Vans,PHEV,2018,2.0
365,Belgium,Historical,Cars,BEV,2018,3600.0
367,Belgium,Historical,Cars,FCEV,2018,13.0
369,Belgium,Historical,Buses,BEV,2018,14.0
373,Belgium,Historical,Cars,PHEV,2018,9600.0
375,Belgium,Historical,Trucks,BEV,2018,1.0
393,Belgium,Historical,Cars,PHEV,2019,8900.0
398,Belgium,Historical,Buses,BEV,2019,37.0
400,Belgium,Historical,Cars,FCEV,2019,12.0
402,Belgium,Historical,Cars,BEV,2019,8800.0
405,Belgium,Historical,Vans,BEV,2019,400.0
408,Belgium,Historical,Buses,PHEV,2019,11.0
409,Belgium,Historical,Buses,PHEV,2020,43.0
412,Belgium,Historical,Vans,BEV,2020,470.0
415,Belgium,Historical,Vans,PHEV,2020,26.0
416,Belgium,Historical,Cars,BEV,2020,15000.0
418,Belgium,Historical,Cars,FCEV,2020,4.0
420,Belgium,Historical,Buses,BEV,2020,12.0
425,Belgium,Historical,Cars,PHEV,2020,32000.0
427,Belgium,Historical,Trucks,BEV,2020,6.0
444,Belgium,Historical,Trucks,BEV,2021,5.0
446,Belgium,Historical,Cars,PHEV,2021,48000.0
451,Belgium,Historical,Buses,BEV,2021,220.0
453,Belgium,Historical,Cars,FCEV,2021,21.0
455,Belgium,Historical,Cars,BEV,2021,23000.0
456,Belgium,Historical,Vans,PHEV,2021,39.0
460,Belgium,Historical,Vans,BEV,2021,640.0
463,Belgium,Historical,Buses,PHEV,2021,22.0
464,Belgium,Historical,Buses,PHEV,2022,25.0
467,Belgium,Historical,Vans,BEV,2022,1800.0
471,Belgium,Historical,Vans,PHEV,2022,98.0
472,Belgium,Historical,Cars,BEV,2022,38000.0
474,Belgium,Historical,Cars,FCEV,2022,20.0
476,Belgium,Historical,Buses,BEV,2022,42.0
481,Belgium,Historical,Cars,PHEV,2022,59000.0
483,Belgium,Historical,Trucks,BEV,2022,31.0
