,region,category,mode,powertrain,year,percent of vehicles
0,Australia,Historical,Cars,EV,2011,0.000390000001062
7,Australia,Historical,Cars,EV,2012,0.002400000113994
12,Australia,Historical,Cars,EV,2013,0.004600000102073
19,Australia,Historical,Cars,EV,2014,0.014000000432134
24,Australia,Historical,Cars,EV,2015,0.027000000700355
31,Australia,Historical,Cars,EV,2016,0.037000000476837
36,Australia,Historical,Cars,EV,2017,0.052000001072884
47,Australia,Historical,Cars,EV,2018,0.076999999582768
52,Australia,Historical,Cars,EV,2019,0.140000000596046
61,Australia,Historical,Cars,EV,2020,0.180000007152557
67,Australia,Historical,Cars,EV,2021,0.319999992847443
81,Australia,Historical,Cars,EV,2022,0.589999973773956
86,Australia,Historical,Cars,EV,2023,1.20000004768372
95,Austria,Historical,Cars,EV,2010,0.00789999961853
96,Austria,Historical,Cars,EV,2011,0.021999999880791
104,Austria,Historical,Cars,EV,2012,0.032999999821186
105,Austria,Historical,Cars,EV,2013,0.052999999374151
120,Austria,Historical,Cars,EV,2014,0.089000001549721
121,Austria,Historical,Cars,EV,2015,0.140000000596046
139,Austria,Historical,Cars,EV,2016,0.239999994635582
140,Austria,Historical,Cars,EV,2017,0.379999995231628
159,Austria,Historical,Cars,EV,2018,0.529999971389771
160,Austria,Historical,Cars,EV,2019,0.75
179,Austria,Historical,Cars,EV,2020,1.20000004768372
180,Austria,Historical,Cars,EV,2021,2.09999990463257
199,Austria,Historical,Cars,EV,2022,3.0
200,Austria,Historical,Cars,EV,2023,4.40000009536743
220,Belgium,Historical,Buses,EV,2010,0.018999999389052
222,Belgium,Historical,Vans,EV,2010,0.010999999940395
223,Belgium,Historical,Cars,EV,2010,0.001300000003539
224,Belgium,Historical,Trucks,EV,2010,0.001300000003539
225,Belgium,Historical,Trucks,EV,2011,0.00400000018999
226,Belgium,Historical,Cars,EV,2011,0.00650000013411
228,Belgium,Historical,Vans,EV,2011,0.013000000268221
230,Belgium,Historical,Buses,EV,2011,0.018999999389052
252,Belgium,Historical,Buses,EV,2012,0.018999999389052
254,Belgium,Historical,Vans,EV,2012,0.052999999374151
255,Belgium,Historical,Cars,EV,2012,0.021999999880791
256,Belgium,Historical,Trucks,EV,2012,0.004800000227988
257,Belgium,Historical,Trucks,EV,2013,0.004800000227988
258,Belgium,Historical,Cars,EV,2013,0.032999999821186
259,Belgium,Historical,Vans,EV,2013,0.06700000166893
261,Belgium,Historical,Buses,EV,2013,0.018999999389052
289,Belgium,Historical,Buses,EV,2014,0.239999994635582
291,Belgium,Historical,Vans,EV,2014,0.079000003635883
293,Belgium,Historical,Cars,EV,2014,0.06700000166893
295,Belgium,Historical,Trucks,EV,2014,0.00760000012815
296,Belgium,Historical,Trucks,EV,2015,0.008399999700487
297,Belgium,Historical,Cars,EV,2015,0.129999995231628
298,Belgium,Historical,Vans,EV,2015,0.08500000089407
300,Belgium,Historical,Buses,EV,2015,0.529999971389771
331,Belgium,Historical,Buses,EV,2016,0.75
333,Belgium,Historical,Vans,EV,2016,0.097000002861023
334,Belgium,Historical,Cars,EV,2016,0.280000001192093
336,Belgium,Historical,Trucks,EV,2016,0.009100000374019
337,Belgium,Historical,Trucks,EV,2017,0.009700000286102
338,Belgium,Historical,Cars,EV,2017,0.529999971389771
339,Belgium,Historical,Vans,EV,2017,0.109999999403954
341,Belgium,Historical,Buses,EV,2017,0.910000026226044
379,Belgium,Historical,Buses,EV,2018,1.10000002384186
381,Belgium,Historical,Vans,EV,2018,0.129999995231628
382,Belgium,Historical,Cars,EV,2018,0.740000009536743
384,Belgium,Historical,Trucks,EV,2018,0.012000000104308
385,Belgium,Historical,Trucks,EV,2019,0.012000000104308
386,Belgium,Historical,Cars,EV,2019,1.0
388,Belgium,Historical,Buses,EV,2019,1.39999997615814
397,Belgium,Historical,Vans,EV,2019,0.170000001788139
421,Belgium,Historical,Vans,EV,2020,0.219999998807907
431,Belgium,Historical,Buses,EV,2020,1.79999995231628
433,Belgium,Historical,Cars,EV,2020,1.79999995231628
